feature_id,feature_name,category,visible_on_dashboard,visibility_condition,navigation_path,user_value,notes
app_bar_logo,Logo & Brand,core,YES,Always,Top AppBar,Brand recognition & trust,
app_bar_points,Loyalty Points Badge,loyalty,YES,Always,Top AppBar,Instant reward feedback,
app_bar_language,Language Selector,localization,YES,Always,Top AppBar,Bilingual accessibility,
app_bar_logout,Logout Button,auth,YES,Always,Top AppBar,Account/session control,
welcome_card,Welcome Card,intro,YES,Always,Top Body,Greeting & orientation,
model_banner,Model Download Banner,ai,CONDITIONAL,Shown if AI models not yet ready ( _modelsReady == false ),Top after Welcome,Sets expectation for AI features,Hidden once ready
festival_highlight,Festival Highlight Badge,culture,CONDITIONAL,_festivalHighlight != null,Body section above gifts,Cultural relevance & timely action,
virtual_gifts,Virtual Gifts Grid,gifts,YES,Always,Gifts section,Discover/send symbolic gifts,Contains share & preview dialogs
recommended_gift,Recommended Gift Highlight,gifts,CONDITIONAL,Heuristic (festival messages OR low mood avg OR meditation suggestion),Inside gifts list,Personalization nudges,
gift_bundles,Gift Bundles,gifts,YES,Always below gifts,Bundled value purchase,
redeem_gift_button,Redeem Gift Code Button,gifts,YES,Forced true condition,Ribbon area,Token-based receiving,
recent_purchases,Ribbon Recent Purchases,gifts,CONDITIONAL,_recentPurchases not empty,Below redeem button,Recall of past actions,
ai_suggestions,AI Daily Suggestions (Breathing/Meditation/Festival/Event),ai,CONDITIONAL,_modelsReady == true,Below purchases,Micro wellbeing nudges,Offline generated
reconnect_prompt,Reconnect Suggestion,relationship,CONDITIONAL,_hasReconnectCandidate() true,Inside AI Pack,Social repair encouragement,
ai_pack,Daily AI Pack (Insights),ai,YES,Always (if insights map not empty),Below AI suggestions,Synthesized daily context,
progress_snapshot,Progress Snapshot Card,analytics,YES,Always,Below AI Pack,Self tracking motivation,
features_grid,Features Grid (All Features),navigation,YES,Always,Bottom main screen,Entry to deeper modules,
thought_diary,CBT Thought Diary,cbt,NO,Open CBT Center via Features Grid,Capture & reframe thoughts,
cbt_screening,PHQ9/GAD7 Demos,cbt,NO,CBT Center,Self-assessment psychoeducation,
coping_cards,Coping Cards,cbt,NO,CBT Center,Quick reframing aids,
cbt_lessons,Micro Lessons,cbt,NO,CBT Center,Incremental CBT learning,
cbt_library,CBT Techniques & Distortions Library,cbt,NO,CBT Center,Skill acquisition,
articles_static,Static Psychology Articles,education,NO,CBT Center (Articles section),Psychoeducation,
articles_imported,Imported Shared Articles,education,NO,CBT Center (Import section),Community knowledge pool,
article_token_create,Create & Tokenize Article,sharing,NO,CBT Center > Import,Private P2P sharing,
article_token_redeem,Redeem Article Token,sharing,NO,CBT Center > Import,Receive shared article,
article_batch_redeem,Batch Redeem,sharing,NO,CBT Center > Import,Efficient bulk import,
article_favorites,Favorites Sorting,education,NO,CBT Center > Import,Prioritize key content,
article_tags,Article Tags Chips,education,NO,CBT Center > Import,Topical grouping,Display only (no filter yet)
article_export,Article Export (Clipboard),sharing,NO,Article detail sheet,External share or backup,
auto_hindi,Auto Hindi Translation Toggle,localization,NO,Article creation bottom sheet,Bilingual convenience,Dictionary-based partial translation
article_version_sync,Static Version Sync,maintenance,NO,CBT Center (buttons row),Keeps base articles updated,
article_migration,Static Migration,maintenance,NO,CBT Center (buttons row),Initial Hive population,
article_delete_undo,Delete + UNDO,maintenance,NO,CBT Center (long press action),Accidental recovery,
article_archive,Archive Action (placeholder),maintenance,NO,CBT Center (long press action),Future separation of inactive,
hypnotherapy,Hypnotherapy Sessions,wellness,NO,Hypnotherapy page,Relaxation & focus logs,
loyalty_detailed,Loyalty Points Detail,loyalty,NO,Loyalty Points page,Understand rewards,
relationship_insights,Relationship Insights,relationship,NO,Relationship pages,Deeper relational patterns,
festival_reminders,Festival Reminders Page,culture,NO,Festival reminders page,Plan greetings,
event_budget,Event Budgeting Planner,planning,NO,Event budgeting page,Cost management,
emotional_checkin,Emotional Check-In Form,emotion,NO,Emotional Check-In page,Daily mood context,
mood_journal_full,Mood Journal Full List,emotion,NO,Mood journal page,Historical reflection,
charts_trends,Charts & Trends,analytics,NO,Charts page,Visual progress,
author_tokens_virtual_gifts,Gift Share Code Dialog,gifts,PARTIAL,Inside gift preview dialog,Bilateral gifting offline,
insight_export,Anonymized Summary Export,analytics,NO,Some export utility page,Data portability (private),
offline_translator_service,Offline Dictionary Translator Engine,infra,INVISIBLE,Background invoked at article creation,Bilingual support fallback,
ai_orchestrator,AI Orchestrator Engine,infra,INVISIBLE,Background aggregator,Unified insights,
metrics_aggregator,Metrics Aggregator Engine,infra,INVISIBLE,Background snapshot,Progress computations,
permission_manager,Permission Manager (Sample Mode),infra,INVISIBLE,Global privacy core,No real permissions,

